country,share_of_top_1,share_of_top_2,share_of_top_3,share_of_top_4,share_of_top_5,share_of_top_6,share_of_top_7,share_of_top_8,share_of_top_9,share_of_top_10
Montserrat,1,1,1,1,1,1,1,1,1,1
Morocco,0.15174878596343372,0.22028715485876443,0.26962496344385484,0.3124736707792373,0.3536968326700277,0.39394425335328254,0.422850151988706,0.4463741995678872,0.4687150388204012,0.4882095384787966
Mozambique,0.14187410299611453,0.2774338187226235,0.3645342386114566,0.4422940596663185,0.4900113310514451,0.5303743859897462,0.5699281447172675,0.6017370585531122,0.6288501775409109,0.6551858837394776
Myanmar (Burma),0.3533624827023446,0.4487022270028485,0.5217006017039004,0.5563342662657149,0.5757530176936223,0.5950384780351836,0.6137488690184244,0.6281126605618981,0.642139633658643,0.6561428526896744
Nauru,0.28402719790051295,0.49922462125730643,0.6662292735297626,0.7974472146009781,0.8940713348443278,0.939162590957891,0.9785279732792557,1,1,1
Nepal,0.28002396647954664,0.3517403170588175,0.40984757482098433,0.46193408946307823,0.5094534986419836,0.5492140901309711,0.5880450680095455,0.626089912740968,0.6596973474753166,0.6919771510759967
Netherlands,0.044591118212314845,0.08055803773009518,0.10907500648451815,0.13082486798579263,0.14484718001924252,0.1574506542298599,0.16945245414210094,0.18006048849916445,0.1901418849847901,0.19968570078671605
New Caledonia,0.40147024564491496,0.507942260071269,0.5914028593861897,0.6458338725959671,0.690592671205101,0.722913916427234,0.7439883001578961,0.7648081519253833,0.7845322220208975,0.8042131511057041
New Zealand,0.0707924156524909,0.135484869859584,0.19713259462986565,0.25845406208984917,0.29366562792843887,0.323902870861055,0.35019317956213086,0.3727737088781966,0.3920848892385229,0.4074321957354138
Nicaragua,0.3148904292223258,0.3616628481930206,0.40376734493113803,0.4446661100755928,0.4799672517344931,0.5111693590141866,0.5401020632701667,0.5599173526975251,0.5777153230817024,0.5950291886714301
Niger,0.342625997509946,0.4362494402555282,0.5187872246251329,0.5600641408925369,0.598773609568848,0.6263267561740139,0.6492500071181377,0.6713793915674657,0.6919329497304167,0.707860236011565
Nigeria,0.21080497127658973,0.2780685798656237,0.32805735944635395,0.3649085014228308,0.3939510371068944,0.4192947592840253,0.44370692842978066,0.4649819557492857,0.48087315451981105,0.4960793878260896
Niue,1,1,1,1,1,1,1,1,1,1
Norfolk Island,1,1,1,1,1,1,1,1,1,1
North Korea,0.34624330846119994,0.40632071350622934,0.4552160286365353,0.5021770236078402,0.5393677674560304,0.5757066581986429,0.6110839768977696,0.6462241264529566,0.6795481643033036,0.7105093226171997
North Macedonia,0.20108662973712046,0.23286616695192355,0.26412190984640166,0.2934607433729644,0.3208881722415263,0.3476393686690543,0.37229030654459194,0.3967960047662319,0.41838039578017405,0.4388236180849199
